objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation,photo_type
fortgeorgepodcast001,cover.jpg,,Aerial Shot of Fort George,image/jpeg,Aerial Shot of Fort George,,,,,website image,Fort George,"Niagara-on-the-Lake, ON",43.251010571362684,-79.06164663036868,,,Parks Canada,http://www.parkscanadahistory.com/publications/fortgeorge/index.htm,,,,,Image,,http://www.parkscanadahistory.com/publications/fortgeorge/index.htm,Colour
fortgeorgepodcast002,FortNiagara.jpg,,Fort Niagara,image/jpeg,Fort Niagara's French Castle,,,,,website image,Fort Niagara; French Castle,"Youngstown, NY",43.26263335,-79.06319027,,,Military History of the Upper Great Lakes,https://ss.sites.mtu.edu/mhugl/2016/10/15/architecture-of-fort-niagara/,,,,,Image,,https://ss.sites.mtu.edu/mhugl/2016/10/15/architecture-of-fort-niagara/,Colour
fortgeorgepodcast003,Wampum.jpg,,Wampum Belts Exhibit,image/jpeg,Fort George's Wampum Belts Exhibit,,,,,,Fort George; Wampum Belts Exhibit,"Niagara-on-the-Lake, ON",43.251448197021574,-79.06134273536296,,,Ryan Passerino,,,,,,Image,,,Colour
fortgeorgepodcast004,map.jpg,,Map of Fort George,image/jpeg,A Map of Fort George National Historic Site,,,,,website image,Fort George; Map,"Niagara-on-the-Lake, ON",43.251010571362684,-79.06164663036868,,,"Fort George National Historic Site, Parks Canada Facebook",https://www.facebook.com/FortGeorgeNHS/photos/we-have-uploaded-our-walking-tour-brochure-to-our-website-for-all-you-trip-plann/4208221479251829/?paipv=0&eav=AfYoud4Iz_m00MIVkxCdulxYXSRvOONTM2LvegjoMpP0-cFbsWqzDukeYRNrib4IrDs&_rdr,,,,,Image,,https://www.facebook.com/FortGeorgeNHS/photos/we-have-uploaded-our-walking-tour-brochure-to-our-website-for-all-you-trip-plann/4208221479251829/?paipv=0&eav=AfYoud4Iz_m00MIVkxCdulxYXSRvOONTM2LvegjoMpP0-cFbsWqzDukeYRNrib4IrDs&_rdr,Colour
fortgeorgepodcast005,fife.jpg,,Fort George's Fife and Drum Corp,image/jpeg,Fort George's Fife and Drum Corp,,,,,website image,Fort George; Fife and Drum Corp,"Niagara-on-the-Lake, ON",43.25101057,-79.06164663,,,"Fort George National Historic Site, Parks Canada Facebook",https://www.facebook.com/photo.php?fbid=739616578192950&set=pb.100064338443733.-2207520000&type=3,,,,,Image,,https://www.facebook.com/photo.php?fbid=739616578192950&set=pb.100064338443733.-2207520000&type=3,Colour
fortgeorgepodcast006,powder.jpg,,Fort George's Powder Magazine,image/jpeg,"Fort George's Powder Magazine, an original building that survived the War of 1812.",,,,,website image,Fort George; Power Magazine,"Niagara-on-the-Lake, ON",43.249911131210865, -79.06013506647585,,,"Fort George National Historic Site, Parks Canada Facebook",https://www.facebook.com/photo.php?fbid=634724032015539&set=pb.100064338443733.-2207520000&type=3,,,,,Image,,https://www.facebook.com/photo.php?fbid=634724032015539&set=pb.100064338443733.-2207520000&type=3,Colour
fortgeorgepodcast007,front.jpg,,Fort George's Front Gates,image/jpeg,A costumed interpreter playing a fife in front of Fort George's front gates,,,,,website image,Fort George; Front Gates; Fife; Interpreter,"Niagara-on-the-Lake, ON",43.251704551854964,-79.0622325539316,,,"Fort George National Historic Site, Parks Canada Facebook",https://www.facebook.com/photo.php?fbid=662730915881517&set=pb.100064338443733.-2207520000&type=3,,,,,Image,,https://www.facebook.com/photo.php?fbid=662730915881517&set=pb.100064338443733.-2207520000&type=3,Colour
fortgeorgepodcast008,blockhouses.jpg,,Fort George's Blockhouses,image/jpeg,Fort George's Three Blockhouses,,,,,website image,Fort George; Blockhouse 1; Blockhouse 2; Blockhouses 3,"Niagara-on-the-Lake, ON",43.25113410134511,-79.06113821265379,,,"Fort George National Historic Site, Parks Canada Facebook",https://www.facebook.com/photo.php?fbid=690642689757006&set=pb.100064338443733.-2207520000&type=3,,,,,Image,,https://www.facebook.com/photo.php?fbid=690642689757006&set=pb.100064338443733.-2207520000&type=3,Colour
fortgeorgepodcast009,exhibit.jpg,,Exhibits inside Fort George's Blockhouse 1,image/jpeg,Some of the exhibits inside Fort George's Blockhouse 1,,,,,website image,Fort George; Blockhouse 1; Exhibits,"Niagara-on-the-Lake, ON",43.25141151287413,-79.06133669611899,,,"Fort George National Historic Site, Parks Canada Facebook",https://www.facebook.com/photo.php?fbid=694651472689461&set=pb.100064338443733.-2207520000&type=3,,,,,Image,,https://www.facebook.com/photo.php?fbid=694651472689461&set=pb.100064338443733.-2207520000&type=3,Colour
fortgeorgepodcast010,musket.jpg,,Musket Demonstration,image/jpeg,An example of one of Fort George's musket demonstrations,,,,,website image,Fort George; Musket Demonstration,"Niagara-on-the-Lake, ON",43.25038781897906,-79.06052666900513,,,"Fort George National Historic Site, Parks Canada Facebook",https://www.facebook.com/photo.php?fbid=721199146701360&set=pb.100064338443733.-2207520000&type=3,,,,,Image,,https://www.facebook.com/photo.php?fbid=721199146701360&set=pb.100064338443733.-2207520000&type=3,Colour